Make,Model,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CHEVROLET,EXPRESS,,,,,,128585,123195,114730,86986,54293,59753,71943,81885,79087,79352,63382,68007,69164,66963,77457,55040,44357,52796,40659,44221,58578,
CHEVROLET,Equinox,,,,,,,,,,,,,,238192,242242,277589,242195,290458,332618,346048,270994,165323,212072,,,,
CHEVROLET,Express,,,,,,,,,,,,,,79087,79352,63382,68007,69164,81239,77457,55131,44355,52888,,,,
CHEVROLET,HHR,,,,,,41011,101298,105175,96053,70842,85184,37012,11,3,,,,,,,,,,,,,
CHEVROLET,IMPALA,,,,,,246481,289868,311128,265840,165565,172078,171434,184684,156797,140280,116825,97006,75877,56557,44978,9943,750,,,,,
CHEVROLET,Impala,,,,,,,,,,,,,,156797,140280,116825,97006,75877,56556,44978,9942,750,10,,,,
CHEVROLET,LOVA RV,,,,,,,,,,,,,,,,4544,13714,3541,1488,13,,,,,,,
CHEVROLET,LUMINA,46573,17649,35,15,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET,MALIBU,,,,,,237065,197966,144096,178964,161574,198800,204808,230938,200594,188519,194854,227881,185857,144542,120302,102652,39376,115468,130341,117319,10024,
CHEVROLET,Malibu,,,,,,,,,,,,,,200594,188519,194854,227881,185857,144542,131917,102651,39376,115467,,,,
CHEVROLET,OPTRA,,,,,16853,12345,6654,4148,76,,,,,,,,,,,,,,,,,,
CHEVROLET,PRIZM,52116,45894,14297,17,5,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET,S10,211587,162181,150992,136573,10014,149,148,34748,25340,13115,2649,,,,,,,,,,,,,,,,
CHEVROLET,SILVERADO,,,,,,705981,636069,618257,465065,316544,370135,415130,450609,480414,529755,600544,574876,585864,585582,575569,593057,529765,520936,555148,560265,587527,
CHEVROLET,SONIC,,,,,,,,,,,,15778,89147,85376,93518,64775,55255,30290,20613,13970,13007,1581,12,,,,
CHEVROLET,SPARK,,,,,,,,,,,,,12385,34130,39159,32853,35511,22589,23603,31280,33480,24460,13708,149,,,
CHEVROLET,SS,,,,,,,,,,,,,,418,2479,2895,3013,4055,46,2,,,,,,,
